text,label,notes
"hey i have a dumb question, can there be lightning strikes during a snowstorm?",questions,
This is just the beginning...,observations,NOTE: using this title only it's very vague and doesn't give much context. Consider adding more detail to the title to make it more informative.
June 17th Tornado Outbreak-Illinois/Indiana,observations,
Morning temperature inversion creating a sea of clouds over a Norwegian fjord,observations,
This is the first time in my life i see this,observations,
Thunder and lightning Z-Limburg(nl) yesterday,observations,
2 consecutive days of 40C forecasted in Reading now.,forecasts,
Historic heatwave for Czechia forecast,forecasts,
Wichita has been on the edge of an overwhelming majority of storm events this year,observations,
Model forecasts for the UK continue to indicate a worsening extreme heat event,forecasts,
Europe and afternoon thunderstorms,observations,
Fog bow this morning on my weather camera!,observations,
"A storm cell passing west of Kraków, Southern Poland",observations,
Finally first rains in Pune,observations,
Thunder last night in Belgium,observations,
Possible Pyrocumulus in Utah,forecasts,This is forecasts because "possible" keyword aspect -- not like observation in general.
Severe high temperature warning 36°C,forecasts,
Little lightning bolts keep jumping from the same spot,observations,
Hail storm at Evergreen,observations,
"Can someone explain to me why one ""filter"" is correct and the other rain&thunder shows opposite of the other one and isn’t correct?",questions,
Why so windy?,questions,
A Better NLC morning [OC][Vancouver Island][@bodkinsbestphotography],observations,
Next week is going to be horrible in Southern England.,forecasts,
Anvil cloud?,questions,
Anvil cloud?,questions,
A photo during a thunderstorm in egypt,observations,
Why is the current France heatwave almost perfectly only inside its borders?,questions,
Temperature,records,More context needed and more likely to be records.
Southeastern US Analysis?,records,
The wildfires look like the upside down tonight,forecasts,Feel more like forecasts as tonight.
All This Rain!,observations,
"Wow that storm last night in Haarlem, Netherlands!!",observations,
Why is it that weather predictions seen to be so much worse lately?,questions,
Sunset clouds,observations,
Beautiful SE Kansas sky’s storms rolling in!,observations,
Gnarly clouds over UNK earlier today,observations,
Weather on a normal day vs holiday in Hastings Minnesota,questions,More likely to be questions
"Incredible cloud structure - West of Lillian, AL",observations,
Croke Park Tonight,forecasts,
The Netherlands 19-06-2026,observations,
weather.com website wont load,questions,More for a website itself
I’m watching a big thunderstorm from the comfort of my couch,observations,
"Campbell, NY Yesterday 6-18-26: Viewer Photo Sent to Local News",,
Is this a supercell?,questions,
A Rainbow Appeared in the Only Sunlit Gap of This Storm,observations,
Fear mongering weather Facebook pages,questions,
US temperature extremes this week: June 12-19,records,
Hack for people who are scared of thunderstorms,observations,Not likely to fit all four types and observations are seen as best fit.
Didn't see this posted,questions,
Any completely free online velocity radar? For Ontario Canada?,questions,
"A 142F heat index potentially occurred in Texas yesterday, just 6F short of the US heat index record in Appleton, Wisconsin, in 1995",records,
Clouds from downtown,observations,
"Weather Watch June 19, 2026, for Southern NH, with Rick Gordon",forecasts,
The 5 biggest National Hurricane Center Updates For The 2026 Season,forecasts,
The ECMWF is projecting record breaking June heat for London next week. Tuesday and Saturday both look like possible contenders to set new national records for June,forecasts,
How unusual is this 10 day forecast in Paris?,questions,
The Storm That Drowned the Appalachians — Helene 2024,observations,More likely to be analysis but observations count it
"Weekend rain, deluge?",questions,
What causes these blue streaks in the sunset?,questions,
Concerns about upcoming trip…,questions,
thunderstorms,observations,
Hey!! Texans! I have a question…,questions,
"It was one of those Corpus Christi, Texas days when the air was so watery you felt you could almost steep tea in it just by leaving a tea bag outside. Dew point of 84°F! 💦",observations,
What kind of cloud is this?,questions,
